name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
"Kadhaippoma (From ""Oh My Kadavule"")","Kadhaippoma (From ""Oh My Kadavule"")","Leon James, Sid Sriram",5cfKBuE5XKtlaNOVjQwA9H,2020-01-03,68,sad,True,60000,89.28571428571429,0.0011776802781382,0.190821978870423,1.0,0.0,1.0,-18.350374,0.091508605,0.3076394680777043,7,1,7
"Maara Theme (Tamil) (From ""Soorarai Pottru"")","Maara Theme (Tamil) [From ""Soorarai Pottru""]","G. V. Prakash, Suriya",0mgrPwfwz57fAMWEAirbLM,2020-01-24,36,energetic,True,60000,110.29411764705884,0.0013665997052747,0.1860936527950586,1.0,0.1045660376548767,1.0,-18.809356689453125,0.0737696215510368,0.3029958757943225,7,1,7
Chumma Kizhi,Darbar (Tamil) [Original Motion Picture Soundtrack],"Anirudh Ravichander, S. P. Balasubrahmanyam, Vivek",1fPEd94p59neJPpn4uOm7m,2020-03-30,44,energetic,True,60000,80.35714285714286,0.0008689608021223,0.2680747381021152,1.0,0.016598081216216,1.0,-16.51634407043457,0.0758434981107711,0.2218371202088015,6,0,7
Tharam Maara Single,Darbar (Tamil) [Original Motion Picture Soundtrack],"Anirudh Ravichander, Arjun Chandy",6fYf6HDZD2n0MpkisZiNRb,2020-03-30,38,energetic,True,60000,114.79591836734694,0.0010226764967125,0.2132923764941788,1.0,0.1036005616188049,1.0,-14.407774925231934,0.0865876451134681,0.2922749793204213,10,0,7
Dumm Dumm,Darbar (Tamil) [Original Motion Picture Soundtrack],"Anirudh Ravichander, Nakash Aziz",3uRLBAYeAqiHyVAdi5EsLG,2020-03-30,35,energetic,True,60000,140.625,0.0010104420597701,0.343800425063322,1.0,0.0,1.0,-21.10116195678711,0.0849696099758148,0.4229135001431007,3,0,7
Thani Vazhi,Darbar (Tamil) [Original Motion Picture Soundtrack],"Anirudh Ravichander, Shakthisree Gopalan, Yogi B",02nqCWVynYXSCmlirw1OXw,2020-03-30,44,energetic,True,60000,90.7258064516129,0.0008984064737656,0.2670540862180057,1.0,0.0082939146086573,1.0,-14.235852241516112,0.091417595744133,0.3730882905344782,9,1,7
Kannula Thimiru,Darbar (Tamil) [Original Motion Picture Soundtrack],"Anirudh Ravichander, Chandramukhi Muvvala, Priya Murthy Chadalawala, Rachana Mudraboyina, Yogi B, Syan, Senthuzhan",6VZSxaL3TXCMGGUK5BZeei,2020-03-30,44,energetic,True,60000,133.92857142857142,0.0012750292274895,0.2222447780116868,1.0,0.0,1.0,-18.183181762695312,0.0726167261600494,0.3015334675097946,5,1,7
Thalaivar Theme,Darbar (Tamil) [Original Motion Picture Soundtrack],"Anirudh Ravichander, Vivek",1IkyAZ21ywt1wY5utZ1wBN,2020-03-30,40,energetic,False,43098,144.23076923076923,0.0013280870024563,0.2409784571424152,1.0,0.0069465888664126,1.0,-18.476030349731445,0.0576637871563434,0.3974742908021462,7,1,7
Villain Theme,Darbar (Tamil) [Original Motion Picture Soundtrack],"Anirudh Ravichander, Vivek",54XA5EIAEKQzsUwssbvhkM,2020-03-30,38,energetic,False,60000,106.13207547169812,0.001248185156526,0.1972709191976981,1.0,0.0,1.0,-19.318437576293945,0.0885428711771965,0.2143828153382637,11,1,7
Taana,Taana,Vichaar,2CnwqdZml1ST0HearrxiTB,2023-10-15,1,Happy,True,60000,67.7710843373494,0.0010313316756094,0.1974288772273817,1.0,0.017491590231657,1.0,-18.53394889831543,0.0946272164583206,0.1850199029304506,11,1,7
Unna Nenachu,Psycho (Tamil) [Original Motion Picture Soundtrack],"Ilaiyaraaja, Sid Sriram",5iXFBbApLVdTta1BrM3QTv,2020-01-17,52,calm,True,60000,86.53846153846153,0.0016234665093404,0.1385304938844205,0.8084253072738647,0.0,1.0,-24.455486297607425,0.0922202616930008,0.1981222572753163,4,1,7
Thaaimadiyil,Psycho (Tamil) [Original Motion Picture Soundtrack],"Ilaiyaraaja, Kailash Kher",4jfAj6NGeoT38qbTetdMli,2020-01-17,33,calm,True,60000,102.27272727272728,0.0018105041125066,0.1089085898618023,0.7550274729728699,0.0,1.0,-24.282838821411133,0.1028182581067085,0.2904650704527796,6,0,7
Neenga Mudiyuma,Psycho (Tamil) [Original Motion Picture Soundtrack],"Ilaiyaraaja, Sid Sriram",3SlP2irItiBEPpOIiImU9m,2020-01-17,47,sad,True,60000,126.04801829268293,0.0009777136773693,0.157362049209075,1.0,0.0,1.0,-18.46724510192871,0.0916351154446601,0.2120700628471548,0,1,7
Vedan Vandhaacho,Mafia Chapter 1 (Original Motion Picture Soundtrack),"Jakes Bejoy, Vivek, Vijay Prakash, Sathyaprakash, Saint Tfc",5m6X3GGdM9Yu94qbnavCwf,2020-05-11,31,energetic,True,60000,170.45454545454547,0.0019335284583128,0.2393250748478048,1.0,0.0024672811850905,1.0,-21.64029121398925,0.0931738317012786,0.2057930794638335,6,0,7
Beast In The House,Mafia Chapter 1 (Original Motion Picture Soundtrack),"Jakes Bejoy, Vivek, Sunitha Sarathy, Travis A. King",2IAhiShx3v6ojgVRzqXwKW,2020-05-11,30,energetic,True,60000,152.02702702702703,0.0021032756703238,0.2133756950153306,0.937445104122162,0.1876870989799499,1.0,-25.06606101989746,0.096041664481163,0.1642972818367895,9,1,7
Dexter Theme,Mafia Chapter 1 (Original Motion Picture Soundtrack),Jakes Bejoy,4PPfsTKSeq0Juq7EiTZVGD,2020-05-11,27,calm,True,60000,148.02631578947367,0.0019337198128764,0.2883862313366512,1.0,0.0,1.0,-20.038232803344727,0.0918928757309913,0.2104024683147808,6,0,7
"Suzhalum Irulil - From ""Andhaghaaram""","Suzhalum Irulil (From ""Andhaghaaram"")","Pradeep Kumar, Shahid Hameed, Sivam",5IVB8zbV02Zfgn3JPzNbN3,2020-11-06,7,sad,True,60000,152.02702702702703,0.0029066938430526,0.1988101420858514,0.7783231139183044,0.0509191676974296,1.0,-27.967628479003903,0.1041480675339698,0.1487347569887606,11,1,7
"Sirikkalam Parakkalam - From ""Kannum Kannum Kollaiyadithaal""",Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),"Benny Dayal, Madurai Soulijos",4HVt2rWXWG7hgxA6MRZG8o,2020-02-24,35,energetic,True,60000,127.8409090909091,0.0012709846876793,0.2093833492101404,1.0,0.0,1.0,-14.468347549438477,0.0927513241767883,0.168135498450084,9,1,7
"Ennai Vittu - From ""Kannum Kannum Kollaiyadithaal""",Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),Ranjith Govind,2i27QO7maH7HNmpuIvWguQ,2020-02-24,36,happy,True,60000,102.27272727272728,0.0012883407112063,0.1755890098704674,1.0,0.0575316064059734,1.0,-14.639325141906738,0.1020014882087707,0.3148350301076935,0,1,7
Yelo Pullelo,Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),Anirudh Ravichander,62fVMDBtSG9XErOQt9xnPh,2020-02-24,41,energetic,True,60000,133.92857142857142,0.0010396140871062,0.3142036901773018,1.0,0.1514119356870651,1.0,-15.845260620117188,0.1000812277197837,0.2943415162519987,6,0,7
Kanave Nee Naan,Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),Sooraj Santhosh,7ltGnQV8uAx8fZpaSdxQho,2020-02-24,48,sad,True,60000,98.6842105263158,0.0013717615233864,0.1197334883520707,1.0,0.0016735527897253,1.0,-18.806764602661133,0.0956425964832305,0.1648086618963497,9,1,7
Ennil Nee,Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),Jananie S.V,6DgBX6PBcKm9i2QAkjWvcO,2020-02-24,26,calm,True,60000,112.5,0.0011920468131801,0.1864156441632598,1.0,0.0,1.0,-18.06671524047852,0.1081736981868743,0.2162738483389764,1,0,7
Assai Illa,Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),Harshavardhan Rameshwar,5fUItCN4lVgIElUEiiJtPV,2020-02-24,21,energetic,True,60000,110.29411764705884,0.0009073489230898,0.215218249394552,1.0,0.0,1.0,-12.620868682861328,0.0631034597754478,0.2917460660751527,5,1,7
Maagaa Maagaa,Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),"Kavya Ajit, Jananie S.V, Harshavardhan Rameshwar",5sGTS0XNEVjbCXnBg2vD1Y,2020-02-24,24,energetic,True,60000,110.29411764705884,0.0008779688657573,0.2980832921369534,1.0,0.0,1.0,-19.74831771850586,0.0930924043059349,0.2680134374497132,2,1,7
Alagiya Sirukki,Ka Pae Ranasingam,Gold Devaraj,4jqpU0jpSDQWY2pyAfBTGo,2020-11-20,12,energetic,True,60000,100.44642857142856,0.0009020520789161,0.2675431485791414,0.9740451574325562,0.0,1.0,-25.76293182373047,0.0995296537876129,0.2941791208495493,2,1,7
Punnagaiyae,Ka Pae Ranasingam,Sundarayyar,5EAkNpCj9nqdcxCHxA0Sp2,2020-11-20,4,calm,True,60000,127.8409090909091,0.0021326941186352,0.3092675017496889,1.0,0.009672038257122,1.0,-23.26507568359375,0.0904698148369789,0.393435416214482,2,1,7
Paravaigala,Ka Pae Ranasingam,Manikandan Perumpadappu,4w9gXUhtlw0IHWSvIUa34Z,2020-11-20,3,sad,True,60000,160.71428571428572,0.0014028863844063,0.1564300895118645,1.0,0.0,1.0,-19.65454292297364,0.0939918160438537,0.2084696100814744,11,1,7
Thaarayadi Nee Enakku,Ka Pae Ranasingam,Gold Devaraj,5W144KTOjxXVeEK5D4q2z9,2020-11-20,1,calm,True,60000,119.6808510638298,0.001539915418788,0.122039068054568,1.0,0.0130637381225824,1.0,-16.321311950683594,0.093666635453701,0.2087498028059083,1,0,7
Peru Ranasingam,Ka Pae Ranasingam,Bhadra Rajin,3AUJGl3oj1kHHs9aUA6vwM,2020-11-20,3,sad,False,60000,100.44642857142856,0.001328639294427,0.1959308796491735,1.0,0.0,1.0,-17.936290740966797,0.0926380977034568,0.1885181148600377,0,1,7
Kannu Thangom,Vaanam Kottattum (Original Motion Picture Soundtrack),"Sid Sriram, Shakthisree Gopalan",3tBDIzqkNE3KJB9MveKaGa,2020-01-23,43,calm,True,60000,132.51201923076923,0.0023611146627892,0.2534990340194465,1.0,0.0081332521513104,1.0,-21.64754676818848,0.1018521264195442,0.2738675889286968,10,0,7
Easy Come Easy Go,Vaanam Kottattum (Original Motion Picture Soundtrack),"Sid Sriram, Sanjeev T, MADM, Tapass Naresh",1lPO9tPFbNsw96mrK8KEjh,2020-01-23,34,energetic,True,60000,119.6808510638298,0.0012193448480221,0.2132220764919569,1.0,0.0,1.0,-19.061586380004883,0.0954669192433357,0.2347987295116654,5,1,7
Poova Thalaiyaa,Vaanam Kottattum (Original Motion Picture Soundtrack),"Sid Sriram, Anthony Daasan",4zQ9ptxKuaV83N1th1jqX9,2020-01-23,37,energetic,True,60000,175.78125,0.0014495978058561,0.2310340140919392,1.0,0.0043077282607555,1.0,-19.19198226928711,0.0977175533771514,0.2992631758700575,3,0,7
En Uyir Kaatre,Vaanam Kottattum (Original Motion Picture Soundtrack),Sid Sriram,6otfMz99YFrdFdsLj2T9OV,2020-01-23,35,sad,True,60000,108.17307692307692,0.0012803802530503,0.2300619646785016,0.3854465186595917,0.0,1.0,-31.532760620117188,0.0976163446903228,0.156773119205619,3,0,7
Mannava,Vaanam Kottattum (Original Motion Picture Soundtrack),"Sid Sriram, Shakthisree Gopalan",6MRWAZiIzA7nbdKvZTz4zr,2020-01-23,19,sad,True,60000,140.625,0.0020869796248832,0.1612985816410415,1.0,0.0524135753512382,1.0,-21.888267517089844,0.0909166261553764,0.1483474726191208,4,1,7
Thinam Thinam,Vaanam Kottattum (Original Motion Picture Soundtrack),Sid Sriram,5eYhbnSpYeZmErfQIjZ2aB,2020-01-23,35,happy,True,60000,140.625,0.0014469157777902,0.1640285650606558,1.0,0.0118019115179777,1.0,-17.372575759887695,0.09091467410326,0.1024835847500031,8,0,7
CHILLENDRU POONGAATRU,KANNI RAASI,"Vijay Paul, Keerthana",4pQ6uHeraM8ITIrbGIXguH,2022-10-19,0,calm,True,60000,95.33898305084746,0.0011935120826758,0.3230163595916281,1.0,0.0,1.0,-20.557832717895508,0.0980315506458282,0.3036205065364087,0,1,7
NESAMA NESAMA,KANNI RAASI,"Vijay Paul, Keerthana",5LEHqU6DN7v8TS81VqOrbM,2022-10-19,0,happy,True,60000,114.79591836734694,0.0010240448682223,0.3126427697575986,1.0,0.0,1.0,-20.73216819763184,0.0965571254491806,0.378271197340415,1,0,7
NITHAM UNTHAN,KANNI RAASI,Vijay Paul,7u7q4sIjYGXypuk4z3ABm9,2022-10-19,0,energetic,True,60000,104.16666666666669,0.0015937070299442,0.3530687426401973,0.5306808352470398,0.0,1.0,-28.45597648620605,0.0947800949215889,0.3432995375292034,10,0,7
OH INGU NANE,KANNI RAASI,Vijay Paul,3c8JAsuoCoVtLXRInbIL7A,2022-10-19,0,energetic,False,60000,95.33898305084746,0.0009951506973674,0.3399864329674724,1.0,0.0,1.0,-15.190386772155762,0.0974520891904831,0.3670579191617895,1,0,7
Dagaalty Naa!,Dagaalty (Orignal Motion Picture Soundtrack),Vijaynarain,0ptuGAltPjGaRsSOz2zILp,2020-12-12,1,energetic,True,60000,172.265625,0.0023589579068744,0.2158254145099651,1.0,0.0,1.0,-21.9746150970459,0.1078314259648323,0.2090047416819897,4,1,7
Aaliyah Aaliyah,Dagaalty (Orignal Motion Picture Soundtrack),"Vijaynarain, Gowtham Bharadwaj, Harshitha Krishnan, Madhan Karky",2lCzRr9f4pov1xSkjx7HXd,2020-12-12,2,energetic,True,60000,112.5,0.0011616678897428,0.2459215583896196,1.0,0.0045300433412194,1.0,-19.31143951416016,0.1094440668821334,0.2901072093159029,3,0,7
The Dagaalty Theme,Dagaalty (Orignal Motion Picture Soundtrack),Vijaynarain,7h7Qo1dKz1VMhhI6MN2DzD,2020-12-12,1,energetic,True,60000,172.265625,0.0023589579068744,0.2158254145099651,1.0,0.0,1.0,-21.9746150970459,0.1078314259648323,0.2090047416819897,4,1,7
Kotha Kothudhu Bodhai,Dagaalty (Orignal Motion Picture Soundtrack),"Santhosh Narayanan, Govind Vasantha, Vijaynarain",35N82hMvkyQPymA0VEjjIG,2020-12-12,4,energetic,True,60000,172.265625,0.0023589579068744,0.2158254145099651,1.0,0.0,1.0,-21.9746150970459,0.1078314259648323,0.2090047416819897,4,1,7
Paaren Paaren,Dagaalty (Orignal Motion Picture Soundtrack),Vijaynarain,0DZFERnkg94OD3aBSmShGF,2020-12-12,1,energetic,True,60000,85.22727272727273,0.0019188749505,0.1665285546458407,1.0,0.0,1.0,-24.68792152404785,0.1064818575978279,0.2504971872234863,4,1,7
Theera Karai (Theme Song),Naanga Romba Busy (Original Motion Picture Soundtrack),Diwakar,6VV2SWMTC85slz7Fqu8NUm,2020-11-21,0,sad,False,60000,81.52173913043478,0.0017389985120583,0.2442907719183256,1.0,0.0780171081423759,1.0,-19.67171669006348,0.0831308513879776,0.24636829246561,11,1,7
Adaalu Amta Seenu,Naanga Romba Busy (Original Motion Picture Soundtrack),"Diwakar, Ranina Reddy, Gana Sallu",39E8UmmFCl3QVAvvtcNZvB,2020-11-21,12,energetic,False,60000,140.625,0.0010653377416945,0.2170169747600426,1.0,0.0379427894949913,1.0,-15.988752365112305,0.0896380767226219,0.186562178075249,4,1,7
Raathiri,Naanga Romba Busy (Original Motion Picture Soundtrack),"Chinmayi, Sathyaprakash",2tRNbgnBMzgvTNrfQJL7zT,2020-11-21,8,calm,False,60000,144.23076923076923,0.0012406092838005,0.2176162605814521,1.0,0.0,1.0,-16.26051902770996,0.0949003025889396,0.3105020833882266,1,0,7
Naanga Romba Busy (Title Theme),Naanga Romba Busy (Original Motion Picture Soundtrack),C. Sathya,1OeorE4F6UWgWF47RQxHEl,2020-11-21,0,energetic,True,16000,148.02631578947367,0.0018349968674219,0.2830079426215856,1.0,0.0,1.0,-24.833480834960938,0.0749333053827285,0.2093643488607003,2,1,7
Mission On (Theme),Naanga Romba Busy (Original Motion Picture Soundtrack),C. Sathya,1Z0SvQmJBotbdI0GlrdRIm,2020-11-21,0,energetic,False,46172,148.02631578947367,0.0013531288190093,0.1969322086509586,1.0,0.0,1.0,-19.8829402923584,0.0784064531326294,0.1793141406414052,2,1,7
Vela Vetti Illa (Theme),Naanga Romba Busy (Original Motion Picture Soundtrack),C. Sathya,5R4OEslTrYZJMYJ8V5MbLx,2020-11-21,0,energetic,False,60000,114.79591836734694,0.0011178255277891,0.2097847535438144,1.0,0.2814843654632568,1.0,-18.212343215942383,0.0891583263874054,0.2112169474091833,4,1,7
WALTER,WALTER,Ogryzek,1uDjffZUrvIykZFekcaaDz,2023-01-20,27,energetic,False,40240,127.8409090909091,0.0017974136222972,0.0569928915153723,1.0,0.1252737343311309,1.0,-11.09377098083496,0.0645671486854553,0.0810574565440557,3,0,7
"Baby Song - From ""Biskoth""","Baby Song (From ""Biskoth"")","Radhan, Yogi",3qsE0FpESgLD4eY0FomD70,2020-10-23,6,happy,True,60000,112.5,0.0010749585078329,0.2510903443554479,1.0,0.0,1.0,-15.053332328796388,0.0846174284815788,0.2661085776943192,4,1,7
Oyadha Megam,Kanni Maadam (Original Motion Picture Soundtrack),"Shweta Mohan, Hari Sai, Viveka",72bm32KOhGYKBq2j8j5mI0,2020-02-12,2,calm,True,60000,119.6808510638298,0.0017084503664348,0.4275220863513153,1.0,0.0046266089193522,1.0,-18.62369728088379,0.0948051586747169,0.3441531630350347,7,1,7
Moonu Kaalu Vaaganam,Kanni Maadam (Original Motion Picture Soundtrack),"Robo Shankar, Hari Sai, Viveka",1DrRVRiiouoZuwiebqOcnE,2020-02-12,0,energetic,False,60000,130.8139534883721,0.0007847996498645,0.3495290073431389,1.0,0.0050415131263434,1.0,-21.679590225219727,0.1015689149498939,0.2948482946196956,9,1,7
Oru Veedu,Kanni Maadam (Original Motion Picture Soundtrack),"Vijay Yesudas, Hari Sai, Bose Venkat",4j8YBajSHbeZx3ctFngb4s,2020-02-12,0,calm,True,60000,104.16666666666669,0.0019590653131485,0.1920635116257109,1.0,0.0020701133180409,1.0,-17.53409194946289,0.1035280600190162,0.2779183958013494,8,0,7
Andarathil Thongudhaiya,Kanni Maadam (Original Motion Picture Soundtrack),"Anthony Daasan, Hari Sai, Viveka",1APWX6jQvlVrYlPAK8YAsq,2020-02-12,0,energetic,True,60000,130.8139534883721,0.001999052719838,0.2851958262975471,1.0,0.0978436917066574,1.0,-21.23215103149414,0.0989809334278106,0.3386854039784452,11,1,7
Thee Pidithu,Kanni Maadam (Original Motion Picture Soundtrack),"Arvind Mukundan, Priyanka NK, Hari Sai, Viveka",1dkTKfglNvGnQYwB2xag8h,2020-02-12,5,calm,False,60000,156.25,0.0014754111562352,0.2707656659649395,1.0,0.0,1.0,-18.583118438720703,0.1058979853987693,0.3494404441462917,1,0,7
